                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7806,                 3.9203,                 2.5185,                0.00232,                0.17778,                0.00142,                0.00041,                 2.2494,                 4.0246,                  2.342,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.4818,                 3.8411,                 2.3178,                0.00203,                0.15556,                 0.0012,                0.00038,                  2.262,                 4.0324,                 2.3709,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 2.5473,                 3.7581,                 2.3741,                0.00232,                0.17778,                0.00153,                0.00047,                 2.2225,                 4.0005,                 2.2928,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.4159,                 3.7654,                 2.2574,                0.00493,                0.37778,                0.00379,                 0.0013,                 2.0857,                  3.914,                 2.1048,             0.00013584,             0.00013584,             0.00013584
                      5,                 2.4096,                 3.6704,                 2.2092,                0.00507,                0.38889,                0.00533,                0.00225,                 2.0264,                 3.8681,                 2.0322,             0.00017287,             0.00017287,             0.00017287
                      6,                 2.2679,                 3.6175,                 2.1762,                0.00696,                0.53333,                0.01223,                0.00375,                 1.9271,                 3.7446,                 1.8726,             0.00020911,             0.00020911,             0.00020911
                      7,                  2.053,                  3.438,                 1.9956,                0.00812,                0.62222,                 0.0265,                0.01088,                 1.8711,                 3.6506,                 1.7812,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.9822,                 3.1321,                 1.7944,                0.00855,                0.65556,                0.04826,                 0.0197,                 1.8534,                  3.576,                 1.7257,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.8984,                 2.9609,                 1.7775,                0.00928,                0.71111,                 0.0624,                0.02347,                 1.8356,                 3.5252,                 1.6887,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.8919,                 2.6748,                 1.6566,                0.00928,                0.71111,                0.07229,                 0.0218,                 1.8087,                 3.4574,                 1.6599,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.9487,                 2.5943,                 1.6981,                0.01029,                0.78889,                0.07005,                0.02091,                  1.796,                 3.3538,                 1.6329,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.9004,                 2.5918,                 1.7031,                0.01087,                0.83333,                0.07487,                 0.0301,                 1.7772,                 3.2346,                 1.5799,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.8529,                 2.3824,                 1.6316,                0.01159,                0.88889,                0.17284,                0.07716,                 1.7823,                 3.1006,                 1.5489,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.8368,                 2.2567,                 1.5723,                0.01174,                    0.9,                0.25484,                0.10476,                 1.7528,                 3.0128,                 1.4909,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.7008,                 2.5089,                 1.6156,                0.01203,                0.92222,                0.26032,                 0.1125,                 1.7244,                 2.9621,                 1.4683,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.6271,                  2.192,                 1.5732,                0.01232,                0.94444,                0.29318,                 0.1378,                  1.668,                 2.9083,                  1.436,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.7556,                 2.0758,                 1.5482,                0.01232,                0.94444,                0.34936,                0.15049,                 1.6774,                 2.8711,                  1.403,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.7469,                 2.0418,                 1.5316,                0.29164,                0.47778,                0.38204,                0.16673,                  1.753,                  2.814,                 1.3918,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.6733,                 2.0092,                 1.4208,                0.97178,                0.08889,                0.42524,                 0.1667,                 1.8348,                 2.7531,                 1.3977,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.6326,                 1.9023,                 1.3893,                0.61358,                0.07082,                0.40037,                 0.1596,                 1.8179,                 2.6777,                 1.3755,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.7105,                 1.8375,                 1.4457,                0.69346,                0.10058,                0.42362,                0.18763,                 1.7373,                 2.6001,                 1.3712,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.7194,                 1.9793,                 1.4824,                0.71757,                0.16948,                0.45776,                0.21149,                 1.7662,                 2.5448,                 1.4261,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.7259,                 1.7754,                 1.4095,                0.65867,                0.15023,                0.47102,                0.21232,                 1.7577,                 2.5696,                 1.4368,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.5796,                 1.7683,                 1.4128,                0.59522,                0.14714,                 0.4096,                0.17019,                 1.7585,                 2.6166,                  1.446,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.6603,                 1.9002,                 1.4449,                0.66186,                0.13061,                0.43553,                0.17837,                 1.7847,                 2.6824,                 1.4249,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.6618,                  1.939,                 1.4464,                0.62526,                0.11124,                0.37944,                  0.154,                 1.8012,                 2.7535,                 1.4399,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.6712,                 1.9476,                 1.3774,                0.68285,                0.14358,                0.40113,                 0.1689,                 1.8424,                 2.7213,                 1.4373,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.6813,                 1.8525,                 1.4386,                0.68285,                0.14358,                0.40113,                 0.1689,                 1.8424,                 2.7213,                 1.4373,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.6848,                 1.8084,                 1.4925,                0.74239,                0.16024,                0.39207,                0.13592,                 1.9426,                 2.7609,                 1.5343,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.6932,                 2.1155,                 1.5221,                 0.7931,                0.12796,                0.28947,                0.10141,                 2.0655,                 2.8467,                 1.6183,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.5106,                 1.5472,                 1.2498,                 0.7931,                0.12796,                0.28947,                0.10141,                 2.0655,                 2.8467,                 1.6183,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.5678,                 1.8449,                 1.4348,                0.76633,                0.14582,                 0.3179,                0.12545,                 2.0677,                  2.802,                 1.6257,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.6192,                 1.5977,                  1.436,                0.87187,                0.22694,                0.42584,                0.19594,                 1.8574,                 2.6892,                 1.4855,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.5688,                  1.562,                  1.336,                0.87187,                0.22694,                0.42584,                0.19594,                 1.8574,                 2.6892,                 1.4855,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.5762,                  1.713,                 1.3941,                0.80292,                0.21111,                0.45839,                0.21838,                 1.8079,                 2.6843,                 1.4825,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.6179,                  1.722,                 1.4532,                0.84125,                0.17669,                0.39835,                0.20113,                  1.825,                 2.7616,                 1.5249,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.5515,                 1.7484,                 1.4473,                0.84125,                0.17669,                0.39835,                0.20113,                  1.825,                 2.7616,                 1.5249,             0.00093966,             0.00093966,             0.00093966
                     38,                   1.54,                   1.77,                 1.4489,                 0.8577,                0.12222,                0.33344,                0.15415,                 1.8343,                 2.8373,                 1.5525,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.5222,                 1.6735,                 1.4066,                0.79232,                0.12222,                0.29369,                0.12125,                 2.0103,                  2.946,                 1.6837,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.5891,                 1.7637,                 1.4448,                0.79232,                0.12222,                0.29369,                0.12125,                 2.0103,                  2.946,                 1.6837,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.4778,                  1.583,                 1.3731,                0.67444,                0.11526,                0.25765,                0.10587,                 2.1263,                 3.0056,                  1.766,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.5931,                 1.6113,                 1.3973,                0.74394,                0.19381,                0.25229,                0.10998,                 2.0861,                 2.9952,                 1.7686,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.5228,                 1.6725,                  1.384,                0.74394,                0.19381,                0.25229,                0.10998,                 2.0861,                 2.9952,                 1.7686,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.4816,                 1.5538,                 1.3319,                0.78108,                0.23795,                0.34188,                0.14804,                  2.001,                 2.8605,                 1.6937,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.4849,                 1.4678,                 1.3092,                0.78108,                0.23795,                0.34188,                0.14804,                  2.001,                 2.8605,                 1.6937,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.5182,                 1.5074,                 1.3552,                0.76471,                0.35556,                0.42878,                0.17267,                 1.9664,                 2.6689,                 1.6896,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.5577,                  1.445,                 1.2947,                0.76471,                0.35556,                0.42878,                0.17267,                 1.9664,                 2.6689,                 1.6896,               0.001013,               0.001013,               0.001013
                     48,                 1.5531,                 1.6141,                 1.3898,                0.81963,                0.47778,                0.58745,                0.26163,                 1.8045,                 2.3751,                 1.5723,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.5175,                 1.4853,                  1.349,                0.81963,                0.47778,                0.58745,                0.26163,                 1.8045,                 2.3751,                 1.5723,              0.0010181,              0.0010181,              0.0010181
                     50,                  1.458,                 1.4062,                 1.3358,                0.74379,                0.48889,                0.62922,                0.30461,                 1.6508,                 2.1599,                 1.4687,              0.0010195,              0.0010195,              0.0010195
                     51,                  1.429,                 1.4702,                 1.2757,                0.74379,                0.48889,                0.62922,                0.30461,                 1.6508,                 2.1599,                 1.4687,                0.00101,                0.00101,                0.00101
                     52,                 1.4948,                 1.5506,                 1.3437,                0.60917,                0.43333,                 0.5162,                0.29602,                 1.6322,                 2.2042,                 1.4848,                0.00101,                0.00101,                0.00101
                     53,                 1.5134,                 1.4612,                 1.3542,                0.60917,                0.43333,                 0.5162,                0.29602,                 1.6322,                 2.2042,                 1.4848,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4232,                 1.4593,                 1.2987,                0.66439,                0.47778,                0.53406,                0.28562,                 1.6357,                 2.1752,                 1.4685,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4232,                 1.5885,                 1.4023,                0.66439,                0.47778,                0.53406,                0.28562,                 1.6357,                 2.1752,                 1.4685,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.341,                 1.3061,                 1.2359,                0.62001,                0.54444,                0.61315,                0.32488,                 1.6167,                 2.0271,                 1.4459,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4295,                 1.5037,                 1.3219,                0.62001,                0.54444,                0.61315,                0.32488,                 1.6167,                 2.0271,                 1.4459,               0.000911,               0.000911,               0.000911
                     58,                 1.4163,                 1.3464,                 1.2805,                0.67571,                0.52222,                0.63896,                0.36531,                 1.5231,                 1.8882,                  1.375,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3661,                 1.2916,                 1.2371,                0.67571,                0.52222,                0.63896,                0.36531,                 1.5231,                 1.8882,                  1.375,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4022,                 1.2992,                 1.2846,                0.62697,                0.48559,                0.60215,                 0.3806,                 1.3975,                 1.8294,                 1.3184,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3819,                 1.2656,                 1.2307,                0.62697,                0.48559,                0.60215,                 0.3806,                 1.3975,                 1.8294,                 1.3184,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3703,                 1.3443,                 1.2483,                0.65657,                0.53333,                0.61111,                0.37806,                 1.3979,                 1.7615,                  1.333,               0.000812,               0.000812,               0.000812
                     63,                 1.3568,                 1.4119,                 1.2803,                0.65657,                0.53333,                0.61111,                0.37806,                 1.3979,                 1.7615,                  1.333,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3515,                 1.2835,                 1.2676,                0.77182,                    0.6,                0.72488,                0.44558,                 1.3647,                 1.6275,                 1.3222,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3341,                 1.3825,                 1.2387,                0.77182,                    0.6,                0.72488,                0.44558,                 1.3647,                 1.6275,                 1.3222,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5288,                 1.5564,                 1.4708,                0.73365,                0.76513,                0.77694,                0.47543,                 1.3273,                 1.5293,                 1.2975,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2436,                 1.1874,                 1.1621,                0.73365,                0.76513,                0.77694,                0.47543,                 1.3273,                 1.5293,                 1.2975,               0.000713,               0.000713,               0.000713
                     68,                 1.2726,                 1.2538,                 1.2303,                0.78546,                0.81362,                0.82853,                0.52428,                 1.2849,                 1.4097,                 1.2662,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.266,                 1.2091,                 1.1719,                0.78546,                0.81362,                0.82853,                0.52428,                 1.2849,                 1.4097,                 1.2662,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2323,                   1.15,                 1.1621,                0.84624,                0.82222,                0.86905,                0.56167,                 1.2285,                 1.3289,                 1.2184,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2698,                 1.2441,                 1.2238,                0.84624,                0.82222,                0.86905,                0.56167,                 1.2285,                 1.3289,                 1.2184,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4021,                 1.4289,                 1.3031,                0.84916,                0.81314,                 0.9058,                0.58395,                 1.2081,                  1.279,                 1.1956,               0.000614,               0.000614,               0.000614
                     73,                 1.2817,                 1.1622,                 1.1479,                0.84916,                0.81314,                 0.9058,                0.58395,                 1.2081,                  1.279,                 1.1956,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3286,                 1.1781,                 1.2096,                0.86199,                0.85556,                0.92251,                0.59598,                  1.201,                 1.2431,                 1.1848,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1274,                  1.088,                 1.1298,                0.86199,                0.85556,                0.92251,                0.59598,                  1.201,                 1.2431,                 1.1848,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1528,                 1.1654,                 1.1599,                0.83136,                0.87643,                0.91633,                 0.5575,                 1.2866,                 1.2608,                  1.253,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3614,                 1.2193,                 1.2738,                0.83136,                0.87643,                0.91633,                 0.5575,                 1.2866,                 1.2608,                  1.253,               0.000515,               0.000515,               0.000515
                     78,                 1.1593,                 1.1128,                 1.1396,                0.86209,                0.83333,                0.89135,                0.53799,                 1.3123,                 1.2746,                 1.2739,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2572,                 1.2184,                 1.2095,                0.86209,                0.83333,                0.89135,                0.53799,                 1.3123,                 1.2746,                 1.2739,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2473,                 1.2152,                  1.198,                0.86052,                0.84444,                0.90005,                0.55905,                 1.2345,                 1.2155,                 1.2054,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2096,                 1.0808,                 1.1302,                0.86052,                0.84444,                0.90005,                0.55905,                 1.2345,                 1.2155,                 1.2054,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2458,                 1.1908,                 1.1808,                 0.8294,                0.95556,                0.93536,                0.61805,                 1.1045,                 1.1177,                 1.1203,               0.000416,               0.000416,               0.000416
                     83,                 1.1848,                 1.0548,                 1.1402,                 0.8294,                0.95556,                0.93536,                0.61805,                 1.1045,                 1.1177,                 1.1203,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3015,                 1.1184,                 1.2279,                0.93225,                    0.9,                0.96533,                0.66225,                 1.0332,                 1.0406,                 1.0743,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1515,                 1.0979,                 1.1364,                0.93225,                    0.9,                0.96533,                0.66225,                 1.0332,                 1.0406,                 1.0743,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2028,                 1.1153,                 1.1709,                0.90532,                0.97778,                0.96957,                0.67942,                 1.0051,                0.98832,                 1.0587,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.254,                 1.1726,                 1.1584,                0.90532,                0.97778,                0.96957,                0.67942,                 1.0051,                0.98832,                 1.0587,               0.000317,               0.000317,               0.000317
                     88,                  1.219,                 1.0469,                 1.1422,                0.92232,                0.95556,                0.97404,                0.70179,                0.96713,                0.96028,                  1.045,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1286,                  1.046,                 1.1585,                0.92232,                0.95556,                0.97404,                0.70179,                0.96713,                0.96028,                  1.045,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0643,                 1.0822,                 1.1223,                0.94456,                0.94654,                0.97254,                0.70959,                0.94872,                0.93961,                 1.0353,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1676,                 1.2369,                 1.2075,                0.94456,                0.94654,                0.97254,                0.70959,                0.94872,                0.93961,                 1.0353,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0928,                 1.1526,                 1.0686,                0.95504,                0.94404,                0.97188,                0.72023,                0.94182,                0.93514,                 1.0318,               0.000218,               0.000218,               0.000218
                     93,                 1.1689,                 1.1536,                 1.1418,                0.95504,                0.94404,                0.97188,                0.72023,                0.94182,                0.93514,                 1.0318,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2339,                 1.2764,                 1.1631,                0.95395,                0.92073,                0.96991,                 0.7251,                0.94983,                0.94555,                 1.0326,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0044,                 1.1285,                 1.0654,                0.95395,                0.92073,                0.96991,                 0.7251,                0.94983,                0.94555,                 1.0326,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.2397,                 1.1286,                 1.2158,                0.97254,                0.91111,                0.97098,                0.72971,                0.94825,                0.94221,                 1.0315,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0106,                 0.9567,                  1.084,                0.97254,                0.91111,                0.97098,                0.72971,                0.94825,                0.94221,                 1.0315,               0.000119,               0.000119,               0.000119
                     98,                 1.0132,                0.97562,                  1.088,                0.97612,                0.90834,                0.97075,                0.72582,                0.93706,                0.93753,                  1.025,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1432,                  1.119,                 1.1187,                0.97612,                0.90834,                0.97075,                0.72582,                0.93706,                0.93753,                  1.025,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0662,                  1.056,                 1.1266,                 0.9648,                0.91355,                0.96918,                0.72326,                0.93203,                0.92592,                 1.0236,               5.96e-05,               5.96e-05,               5.96e-05
